20151231, 137.7400, 140.4400, 136.5400, 137.6200, 13538507
20151224, 135.8300, 139.3050, 134.0200, 138.2500, 16540309
20151218, 135.3100, 139.6500, 134.0200, 134.9000, 27823388
20151211, 140.1600, 140.4100, 133.9100, 134.5700, 21354563
20151204, 138.6100, 141.4000, 137.9900, 140.4300, 22935841
20151127, 138.5300, 139.3400, 137.1200, 138.4600, 13199481
20151120, 131.7900, 138.9150, 131.7900, 138.5000, 21083793
20151113, 137.9200, 138.0800, 131.6500, 131.7500, 25069755
20151106, 140.5000, 142.8000, 137.8700, 138.2500, 21526383
20151030, 144.7500, 145.0000, 137.3300, 140.0800, 34698762
20151023, 149.8500, 149.9700, 139.3000, 144.6800, 42068316
20151016, 152.4000, 152.5800, 148.5800, 150.3900, 17455488
20151009, 145.8200, 153.1470, 145.8200, 152.3900, 19465122
20151002, 144.4200, 145.7100, 140.5600, 144.5800, 19914471
20150925, 145.3900, 146.9800, 141.9500, 145.4200, 16815584
20150918, 147.3700, 149.6800, 143.9800, 144.5100, 20721826
20150911, 145.8600, 149.0400, 144.5100, 147.3700, 13916382
20150904, 147.2600, 148.4000, 141.8500, 143.7000, 21421138
20150828, 143.4700, 148.9700, 140.6200, 147.9800, 32508092
20150821, 155.2000, 156.6900, 148.7000, 148.8500, 19846207
20150814, 156.7700, 157.4652, 153.9500, 155.7500, 17165086
20150807, 161.7000, 161.8500, 154.3350, 155.1200, 20138504
20150731, 159.0000, 162.0600, 158.5000, 161.9900, 15380412
20150724, 172.7900, 173.7800, 159.4100, 159.7500, 37075256
20150717, 167.9300, 172.5200, 167.5200, 172.5100, 17138495
20150710, 163.8300, 167.4000, 162.2317, 166.9500, 18143986
20150702, 163.9200, 165.6100, 162.1200, 165.0900, 12979210
20150626, 167.6500, 169.9700, 165.2300, 165.4600, 20939777
20150619, 165.3300, 168.7200, 164.2500, 166.9900, 20761376
20150612, 167.1700, 170.4400, 163.3700, 166.9900, 18364270
20150605, 170.2100, 171.5601, 167.2000, 167.4000, 13868111
20150529, 172.1100, 172.4800, 169.1300, 169.6500, 12435919
20150522, 173.4400, 174.4400, 171.9300, 172.2200, 11939607
20150515, 172.6500, 174.4100, 168.8400, 173.2600, 13435074
20150508, 174.4700, 176.3000, 168.8600, 172.6800, 16793441
20150501, 170.8900, 175.1303, 170.0200, 173.6700, 21874751
20150424, 162.1000, 171.9100, 161.9000, 169.7800, 35436301
20150417, 162.3700, 164.9600, 160.0300, 160.6700, 17532781
20150410, 159.6900, 163.8400, 158.7020, 162.8600, 13917063
20150402, 161.3100, 163.6000, 158.3900, 160.4500, 16765545
20150327, 162.7700, 165.3500, 158.9100, 160.4000, 23569213
20150320, 155.0500, 163.0000, 154.8000, 162.8800, 25684872
20150313, 158.2000, 161.1500, 153.4000, 154.2800, 26135448
20150306, 161.6800, 161.8900, 158.0600, 158.5000, 21117049
20150227, 164.2300, 164.9900, 159.7700, 161.9400, 22941227
20150220, 159.7500, 164.4900, 159.7300, 163.6500, 14108892
20150213, 156.0000, 160.8000, 155.0800, 160.4000, 18164756
20150206, 154.0000, 158.7100, 151.5100, 156.7200, 22439830
20150130, 158.2600, 159.4600, 149.5200, 153.3100, 32927307
20150123, 156.7000, 157.6000, 151.0700, 155.8700, 31230797
20150116, 159.0000, 159.9700, 153.7400, 157.1400, 23272056
20150109, 161.2700, 161.2700, 154.0300, 159.1100, 24440360
20150102, 162.0000, 163.3100, 159.4500, 162.0600, 15698987
20141226, 158.3300, 163.0900, 158.3300, 162.3400, 12508916
20141219, 155.9300, 160.4100, 150.5000, 158.5100, 34588770
20141212, 163.2900, 163.3300, 155.3300, 155.3800, 23397756
20141205, 161.6400, 164.5200, 161.3500, 163.2700, 20945441
20141128, 161.5400, 163.8600, 161.0100, 162.1700, 17053892
20141121, 164.1600, 164.9700, 159.8000, 160.9200, 22273217
20141114, 161.9000, 164.4900, 161.6100, 164.1600, 20088151
20141107, 164.2500, 164.5400, 160.0500, 162.0700, 20603321
20141031, 162.0000, 165.5900, 161.8000, 164.4000, 27342119
20141024, 166.8450, 170.3310, 161.1000, 162.0800, 69701346
20141017, 185.4900, 186.6500, 178.6900, 182.0500, 24355568
20141010, 189.6900, 190.8900, 185.1000, 185.9300, 15795271
